time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
0,0,0.0552440015331838,0,0,0,0,120,0.386833780983381,0.0552440015331838,4.1337798938427e-15,-0,0.540210438138273,-2.96225301500947e-14,-9.76867633209498,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,120,4.96053587261124e-13,0
0.01,-7.52474164724221e-20,0.0552440015331838,-2.42033481832911e-19,-1.2366847274423e-17,-3.06683207273451e-17,-4.8291275411351e-17,120,0.386833780983381,0.0552440015331838,4.13154829931509e-15,-2.22044604925031e-17,0.540210438138273,-2.96506291162914e-14,-9.76867633209498,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,120,4.95757250482503e-13,2.66453525910038e-15
0.02,-3.00883352020909e-19,0.0552440015331838,-9.66069445744866e-19,-2.4793663796667e-17,-6.27785856195631e-17,-9.62146026526986e-17,120,0.386833780983381,0.0552440015331839,4.12978642737242e-15,-4.44089209850063e-17,0.540210438138273,-2.97142919933472e-14,-9.76867633209498,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,120,4.95460436576826e-13,5.32907051820075e-15
0.03,-6.78346813208165e-19,0.0552440015331838,-2.16730521811509e-18,-3.74955137849875e-17,-9.61846560515068e-17,-1.43551625078027e-16,120,0.386833780983381,0.0552440015331839,4.12848648567956e-15,-6.66133814775094e-17,0.540210438138274,-2.98093451926324e-14,-9.76867633209499,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,120,4.95162796319435e-13,7.99360577730113e-15
0.04,-1.21094508819765e-18,0.0552440015331838,-3.83889184891196e-18,-5.06541466421521e-17,-1.3038383037617e-16,-1.90111666134548e-16,120,0.386833780983381,0.0552440015331839,4.12763886407776e-15,-8.88178419700125e-17,0.540210438138274,-2.99319528483329e-14,-9.76867633209499,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,120,4.94864020279076e-13,1.06581410364015e-14
0.05,-1.90355161522518e-18,0.0552440015331838,-5.97219952918802e-18,-6.44212262517776e-17,-1.65448079439757e-16,-2.35729399301072e-16,120,0.386833780983381,0.0552440015331839,4.12723238809897e-15,-1.03620815631681e-16,0.540210438138274,-3.00785941578978e-14,-9.76867633209499,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,120,4.94563835387612e-13,1.24344978758018e-14
0.06,-2.7623336398894e-18,0.0552440015331838,-8.55706048516687e-18,-7.89213110184421e-17,-2.00834892140472e-16,-2.80262678691047e-16,120,0.386833780983381,0.0552440015331839,4.12725455037786e-15,-1.11022302462516e-16,0.540210438138274,-3.02460420500272e-14,-9.76867633209499,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,120,4.94262001757663e-13,1.33226762955019e-14
0.07,-3.79450733845044e-18,0.0552440015331838,-1.15819909093557e-17,-9.42546012028355e-17,-2.37038569965135e-16,-3.23590520688798e-16,120,0.386833780983381,0.0552440015331839,4.12769172151961e-15,-1.25825276124184e-16,0.540210438138275,-3.04313431113675e-14,-9.76867633209499,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,120,4.93958309732475e-13,1.50990331349021e-14
0.08,-5.00811823973592e-18,0.0552440015331838,-1.50343933952348e-17,-1.10499469128102e-16,-2.73625414926926e-16,-3.65611227498469e-16,120,0.386833780983381,0.055244001533184,4.12852934188583e-15,-1.40628249785853e-16,0.540210438138275,-3.06317987062059e-14,-9.76867633209499,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,120,4.93652577153164e-13,1.68753899743024e-14
0.09,-6.41184492444633e-18,0.0552440015331838,-1.8900741253189e-17,-1.27714786909857e-16,-3.10456655737129e-16,-4.06240643972354e-16,120,0.386833780983381,0.055244001533184,4.12975209567142e-15,-1.55431223447522e-16,0.540210438138275,-3.08449472264584e-14,-9.76867633209499,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,120,4.93344646829354e-13,1.86517468137026e-14
